"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.282948000E-2,-1.722832322E-1,5.024927482E-2,9.810872078E0,9.812513309E0
3.521755300E-2,-1.674975902E-1,5.982056633E-2,9.803693771E0,9.805307007E0
3.760567800E-2,-1.722832322E-1,7.178468257E-2,9.810872078E0,9.812647221E0
3.999375100E-2,-1.794617027E-1,7.657032460E-2,9.808479309E0,9.810419760E0
4.238187600E-2,-1.890329868E-1,7.178468257E-2,9.815657616E0,9.817740114E0
4.476994900E-2,-1.722832322E-1,7.178468257E-2,9.818050385E0,9.819824230E0
4.715802200E-2,-1.722832322E-1,6.460621208E-2,9.813264847E0,9.814989680E0
4.954614700E-2,-1.746760458E-1,6.221338734E-2,9.810872078E0,9.812624173E0
5.193422000E-2,-1.698904037E-1,4.307080805E-2,9.801301003E0,9.802867906E0
5.432234500E-2,-1.794617027E-1,4.785645381E-2,9.798908234E0,9.800668310E0
5.671041800E-2,-1.722832322E-1,5.264209956E-2,9.794121742E0,9.795778346E0
5.909849100E-2,-1.651047617E-1,3.589234129E-2,9.808479309E0,9.809934465E0
6.148661600E-2,-1.794617027E-1,4.546362907E-2,9.808479309E0,9.810226287E0
6.387468900E-2,-1.818545163E-1,3.589234129E-2,9.803693771E0,9.805445981E0
6.626281400E-2,-1.698904037E-1,2.392822690E-2,9.803693771E0,9.805194892E0
6.865088700E-2,-1.842473447E-1,2.871387079E-2,9.803693771E0,9.805467002E0
7.103901200E-2,-1.770688742E-1,2.632104978E-2,9.803693771E0,9.805328029E0
7.342708500E-2,-1.722832322E-1,2.392822690E-2,9.801301003E0,9.802844251E0
7.581515700E-2,-1.746760458E-1,3.828516230E-2,9.791728973E0,9.793361719E0
7.820328200E-2,-1.842473447E-1,1.196411345E-2,9.796515465E0,9.798255226E0
8.059135500E-2,-1.698904037E-1,3.349951655E-2,9.808479309E0,9.810007713E0
8.297948000E-2,-1.651047617E-1,5.024927482E-2,9.810872078E0,9.812389898E0
8.536755300E-2,-1.674975902E-1,4.546362907E-2,9.808479309E0,9.810014717E0
8.775567800E-2,-1.722832322E-1,4.785645381E-2,9.808479309E0,9.810108975E0
9.014375100E-2,-1.627119333E-1,4.546362907E-2,9.796515465E0,9.797972105E0
9.253182400E-2,-1.866401732E-1,3.589234129E-2,9.801301003E0,9.803143585E0
9.491994900E-2,-1.938186288E-1,3.589234129E-2,9.810872078E0,9.812852024E0
9.730802200E-2,-1.698904037E-1,1.196411345E-2,9.803693771E0,9.805172994E0
9.969614700E-2,-1.603191197E-1,3.349951655E-2,9.808479309E0,9.809846624E0
1.020842200E-1,-1.794617027E-1,4.307080805E-2,9.815657616E0,9.817392527E0
1.044723450E-1,-1.722832322E-1,2.632104978E-2,9.803693771E0,9.805242775E0
1.068604180E-1,-1.674975902E-1,2.632104978E-2,9.820742607E0,9.822206147E0
1.092484910E-1,-1.674975902E-1,2.632104978E-2,9.810872078E0,9.812337090E0
1.116366160E-1,-1.603191197E-1,4.307080805E-2,9.808479309E0,9.809883978E0
1.140246890E-1,-1.627119333E-1,4.546362907E-2,9.813264847E0,9.814719001E0
1.164128140E-1,-1.603191197E-1,4.546362907E-2,9.801301003E0,9.802717506E0
1.188008870E-1,-1.674975902E-1,3.589234129E-2,9.798908234E0,9.800405414E0
1.211890120E-1,-1.627119333E-1,3.828516230E-2,9.798908234E0,9.800333846E0
1.235770850E-1,-1.603191197E-1,3.589234129E-2,9.806086540E0,9.807462654E0
1.259651570E-1,-1.651047617E-1,5.742774159E-2,9.803693771E0,9.805252118E0
1.283532820E-1,-1.531406492E-1,4.307080805E-2,9.798908234E0,9.800199474E0
1.307413550E-1,-1.555334777E-1,5.742774159E-2,9.794121742E0,9.795524963E0
1.331294800E-1,-1.579262912E-1,5.024927482E-2,9.789336205E0,9.790738942E0
1.355175530E-1,-1.651047617E-1,4.307080805E-2,9.794121742E0,9.795607964E0
1.379056260E-1,-1.603191197E-1,4.067798331E-2,9.806086540E0,9.807481336E0
1.402937510E-1,-1.579262912E-1,4.785645381E-2,9.808479309E0,9.809867344E0
1.426818240E-1,-1.483550072E-1,5.742774159E-2,9.796515465E0,9.797807020E0
1.450699490E-1,-1.627119333E-1,5.742774159E-2,9.810872078E0,9.812389314E0
1.474580220E-1,-1.555334777E-1,3.828516230E-2,9.801301003E0,9.802609742E0
1.498461470E-1,-1.794617027E-1,5.742774159E-2,9.803693771E0,9.805504373E0
1.522342200E-1,-1.651047617E-1,7.896314561E-2,9.806086540E0,9.807794247E0
1.546223450E-1,-1.579262912E-1,6.939185411E-2,9.806086540E0,9.807603641E0
1.570104180E-1,-1.651047617E-1,5.024927482E-2,9.806086540E0,9.807605100E0
1.593984910E-1,-1.603191197E-1,5.982056633E-2,9.798908234E0,9.800402201E0
1.617866160E-1,-1.890329868E-1,6.460621208E-2,9.798908234E0,9.800944342E0
1.641746890E-1,-1.866401732E-1,6.699903309E-2,9.808479309E0,9.810483667E0
1.665628140E-1,-1.746760458E-1,5.503492057E-2,9.801301003E0,9.803011879E0
1.689508870E-1,-1.746760458E-1,5.264209956E-2,9.801301003E0,9.802998738E0
1.713389600E-1,-1.866401732E-1,4.785645381E-2,9.789336205E0,9.791232206E0
1.737270850E-1,-1.794617027E-1,4.546362907E-2,9.777372360E0,9.779124895E0
1.761151570E-1,-1.722832322E-1,3.349951655E-2,9.782157898E0,9.783732257E0
1.785032820E-1,-1.627119333E-1,4.546362907E-2,9.796515465E0,9.797972105E0
1.808913550E-1,-1.698904037E-1,5.264209956E-2,9.796515465E0,9.798129882E0
1.832794800E-1,-1.555334777E-1,7.417750359E-2,9.801301003E0,9.802815632E0
1.856675530E-1,-1.866401732E-1,4.546362907E-2,9.806086540E0,9.807967921E0
1.880556260E-1,-1.722832322E-1,4.546362907E-2,9.815657616E0,9.817274718E0
1.904437510E-1,-1.746760458E-1,4.546362907E-2,9.798908234E0,9.800570455E0
1.928318240E-1,-1.842473447E-1,5.742774159E-2,9.791728973E0,9.793630650E0
1.952199490E-1,-1.866401732E-1,4.546362907E-2,9.784550667E0,9.786436187E0
1.976080220E-1,-1.794617027E-1,4.307080805E-2,9.803693771E0,9.805430799E0
1.999961470E-1,-1.746760458E-1,4.785645381E-2,9.813264847E0,9.814936012E0
2.023842200E-1,-1.842473447E-1,5.503492057E-2,9.810872078E0,9.812756333E0
2.047722930E-1,-1.746760458E-1,3.828516230E-2,9.796515465E0,9.798147413E0
2.071604180E-1,-1.794617027E-1,5.982056633E-2,9.791728973E0,9.793556111E0
2.095484910E-1,-1.722832322E-1,5.024927482E-2,9.813264847E0,9.814905677E0
2.119366160E-1,-1.842473447E-1,4.067798331E-2,9.810872078E0,9.812686315E0
2.143246890E-1,-1.818545163E-1,4.067798331E-2,9.808479309E0,9.810249340E0
2.167128140E-1,-1.746760458E-1,3.589234129E-2,9.801301003E0,9.802923101E0
2.191008870E-1,-1.651047617E-1,1.914258115E-2,9.801301003E0,9.802710205E0
2.214889600E-1,-1.674975902E-1,3.589234129E-2,9.808479309E0,9.809975028E0
2.238770850E-1,-1.746760458E-1,3.349951655E-2,9.803693771E0,9.805307007E0
2.262651570E-1,-1.890329868E-1,3.110669367E-2,9.808479309E0,9.810350017E0
2.286532820E-1,-1.794617027E-1,2.871387079E-2,9.796515465E0,9.798201174E0
2.310413550E-1,-1.746760458E-1,2.632104978E-2,9.794121742E0,9.795714636E0
2.334294800E-1,-1.698904037E-1,4.067798331E-2,9.815657616E0,9.817212022E0
2.358175530E-1,-1.698904037E-1,3.349951655E-2,9.806086540E0,9.807615317E0
2.382056260E-1,-1.674975902E-1,2.632104978E-2,9.798908234E0,9.800375034E0
